iter	RMSE
0	74468.08043
1	71225.10942
2	67828.723
3	64950.6725
4	62269.188
5	59851.67454
6	57849.33606
7	56201.23727
8	54594.70308
9	53174.83269
10	51916.66065
11	50753.47647
12	49735.25951
13	48757.64229
14	47921.31595
15	47114.14206
16	46440.39355
17	45774.37263
18	45156.05509
19	44565.31019
20	44052.07365
21	43570.22296
22	43125.78253
23	42766.48553
24	42414.32345
25	42121.28678
26	41778.58605
27	41484.18651
28	41227.07139
29	40984.38365
30	40774.31905
31	40542.72317
32	40350.80408
33	40173.53007
34	40020.0503
35	39869.56723
36	39692.22382
37	39505.78586
38	39382.06634
39	39229.58277
40	39090.3792
41	38955.60778
42	38860.631
43	38750.73861
44	38633.61608
45	38538.25106
46	38463.60836
47	38403.79976
48	38318.9413
49	38229.83074
50	38113.7786
51	38042.23369
52	37964.79456
53	37910.06925
54	37858.41212
55	37801.67328
56	37740.26612
57	37721.72045
58	37704.28571
59	37648.92612
60	37608.63055
61	37594.67241
62	37577.21096
63	37505.36346
64	37421.44643
65	37384.12339
66	37368.94302
67	37333.91811
68	37293.1371
69	37260.81956
70	37222.60335
71	37186.03144
72	37172.17641
73	37146.47378
74	37122.36538
75	37109.82771
76	37085.91835
77	37026.56585
78	36999.5688
79	36990.66703
80	36981.82088
81	36940.07923
82	36932.72391
83	36921.69812
84	36913.75005
85	36882.22342
86	36872.11088
87	36864.91956
88	36837.39348
89	36821.22799
90	36815.307
91	36809.64788
92	36799.65316
93	36791.54912
94	36757.87594
95	36738.40283
96	36731.24277
97	36726.14704
98	36702.56199
99	36666.92102
100	36661.95057
101	36644.93366
102	36637.93201
103	36631.33498
104	36624.4731
105	36593.15431
106	36587.28415
107	36570.28484
108	36564.50846
109	36559.23229
110	36552.77973
111	36525.01986
112	36503.91655
113	36483.84029
114	36386.70123
115	36381.60167
116	36365.40927
117	36329.63388
118	36312.33732
119	36288.70061
120	36282.73412
121	36268.90114
122	36264.75605
123	36258.52639
124	36254.63835
125	36227.26193
126	36222.8835
127	36210.06631
128	36205.69724
129	36202.11407
130	36186.31142
131	36182.84903
132	36177.96325
133	36174.59769
134	36159.16765
135	36154.57656
136	36150.79321
137	36125.90867
138	36115.2283
139	36034.39053
140	36020.03988
141	36007.1279
142	36003.87554
143	36000.94433
144	35990.37013
145	35987.55257
146	35984.51605
147	35963.407
148	35960.42882
149	35936.85635
150	35893.75202
151	35882.69083
152	35873.41274
153	35802.76024
154	35799.92914
155	35795.17829
156	35792.45078
157	35790.0084
158	35769.61726
159	35733.27216
160	35729.64985
161	35708.9651
162	35699.20346
163	35665.52912
164	35662.33484
165	35650.45909
166	35614.15814
167	35578.67749
168	35575.50777
169	35565.3111
170	35550.45045
171	35469.48394
172	35457.37122
173	35453.39013
174	35451.08744
175	35448.43985
176	35412.50328
177	35395.12292
178	35392.9585
179	35341.95226
180	35331.79319
181	35330.19483
182	35320.07624
183	35299.25496
184	35295.80919
185	35293.13836
186	35267.87079
187	35241.63181
188	35231.54636
189	35222.48898
190	35218.9516
191	35217.39178
192	35188.404
193	35179.59039
194	35177.56698
195	35175.62859
196	35157.83575
197	35140.36681
198	35138.63751
199	35136.99502
200	35126.08692
201	35118.01197
202	35110.99724
203	35096.28873
204	35094.70305
205	35093.19602
206	35070.32166
207	35061.50043
208	35054.35054
209	35048.10865
210	35028.01728
211	35018.57139
212	34998.58991
213	34996.33601
214	34988.51533
215	34982.86191
216	34981.45724
217	34930.60619
218	34927.46887
219	34921.96096
220	34913.41167
221	34898.06431
222	34889.17679
223	34881.91003
224	34877.09232
225	34870.1631
226	34826.62814
227	34810.14594
228	34808.77398
229	34798.80222
230	34779.40793
231	34776.61706
232	34774.9536
233	34762.74357
234	34754.50328
235	34743.93593
236	34725.81075
237	34703.95699
238	34702.68137
239	34700.07288
240	34698.44804
241	34689.62819
242	34687.84843
243	34672.78004
244	34646.47675
245	34644.93041
246	34630.9157
247	34629.7436
248	34609.24462
249	34606.56923
250	34590.53805
251	34553.10603
252	34538.48764
253	34523.52042
254	34522.39235
255	34521.26365
256	34518.84185
257	34517.77438
258	34512.79854
259	34511.38246
260	34493.29726
261	34491.00294
262	34476.56534
263	34475.21864
264	34473.92233
265	34472.79566
266	34463.242
267	34441.16764
268	34427.27192
269	34394.49117
270	34373.89926
271	34372.67342
272	34371.66652
273	34359.1271
274	34345.71809
275	34343.48281
276	34330.89039
277	34325.52383
278	34317.65093
279	34309.91978
280	34300.26762
281	34271.87744
282	34260.3412
283	34248.76264
284	34239.62106
285	34227.98452
286	34221.55314
287	34217.05445
288	34206.59944
289	34194.36372
290	34186.24622
291	34183.88756
292	34176.15364
293	34175.27777
294	34173.25454
295	34163.39163
296	34161.43291
297	34160.56206
298	34150.55432
299	34141.02524
300	34134.59512
301	34132.31261
302	34124.16673
303	34095.66003
304	34085.41057
305	34084.53174
306	34083.73446
307	34078.43111
308	34071.18253
309	34060.45705
310	34059.21181
311	34048.24726
312	34030.77003
313	34027.45255
314	34021.54562
315	33979.65987
316	33977.83792
317	33972.04957
318	33970.2815
319	33958.73184
320	33954.18967
321	33945.10751
322	33931.47483
323	33915.82197
324	33915.03678
325	33902.42056
326	33892.61138
327	33870.83406
328	33864.18808
329	33856.15288
330	33850.49513
331	33843.46669
332	33841.76681
333	33840.96589
334	33831.08593
335	33806.57344
336	33802.55049
337	33783.97323
338	33783.24392
339	33776.56124
340	33769.76223
341	33769.05385
342	33761.06561
343	33757.32789
344	33745.76564
345	33745.07593
346	33741.63454
347	33738.43654
348	33737.76917
349	33716.55455
350	33712.58489
351	33701.5801
352	33700.75436
353	33695.91657
354	33687.19772
355	33683.91073
356	33676.99885
357	33672.77002
358	33672.15557
359	33668.48025
360	33662.13357
361	33655.83346
362	33652.69387
363	33647.48491
364	33633.05217
365	33629.68018
366	33624.5283
367	33623.9251
368	33617.9127
369	33612.18551
370	33585.11288
371	33577.44457
372	33574.65119
373	33571.76877
374	33563.19222
375	33562.40963
376	33544.3372
377	33536.49405
378	33535.95508
379	33529.85992
380	33524.42218
381	33521.13694
382	33507.59324
383	33505.89849
384	33498.51929
385	33493.01841
386	33483.25895
387	33478.21686
388	33472.19153
389	33448.04062
390	33443.16613
391	33440.5716
