iter	Passed	Remaining
0	0	202
1	0	172
2	1	159
3	1	151
4	1	149
5	2	145
6	2	142
7	2	139
8	3	138
9	3	136
10	3	136
11	4	134
12	4	133
13	4	133
14	5	132
15	5	134
16	5	134
17	6	134
18	6	134
19	7	134
20	7	134
21	7	134
22	8	133
23	8	133
24	8	132
25	9	132
26	9	133
27	9	132
28	10	132
29	10	131
30	11	131
31	11	130
32	11	130
33	12	129
34	12	129
35	12	128
36	13	128
37	13	127
38	13	127
39	14	126
40	14	126
41	14	126
42	15	125
43	15	125
44	15	125
45	16	125
46	16	125
47	17	125
48	17	125
49	17	124
50	18	124
51	18	124
52	18	124
53	19	124
54	19	124
55	20	124
56	20	123
57	20	123
58	21	123
59	21	122
60	22	122
61	22	121
62	22	121
63	23	120
64	23	120
65	23	119
66	24	119
67	24	118
68	24	118
69	25	118
70	25	117
71	25	117
72	26	117
73	26	116
74	26	116
75	27	116
76	27	115
77	27	115
78	28	115
79	28	114
80	29	114
81	29	113
82	29	113
83	30	113
84	30	112
85	30	112
86	31	111
87	31	111
88	31	110
89	31	110
90	32	109
91	32	108
92	32	108
93	33	107
94	33	107
95	33	106
96	34	106
97	34	105
98	34	105
99	35	105
100	35	104
101	35	104
102	36	103
103	36	103
104	36	102
105	36	102
106	37	101
107	37	101
108	37	100
109	38	100
110	38	100
111	38	99
112	39	99
113	39	98
114	39	98
115	39	97
116	40	97
117	40	97
118	40	96
119	41	96
120	41	95
121	41	95
122	42	94
123	42	94
124	42	94
125	43	93
126	43	93
127	43	92
128	43	92
129	44	92
130	44	91
131	45	91
132	45	91
133	45	90
134	46	90
135	46	90
136	46	90
137	47	89
138	47	89
139	48	89
140	48	89
141	48	88
142	49	88
143	49	88
144	50	88
145	50	87
146	50	87
147	51	87
148	51	86
149	51	86
150	52	85
151	52	85
152	52	85
153	53	84
154	53	84
155	53	84
156	54	83
157	54	83
158	54	83
159	55	82
160	55	82
161	55	82
162	56	81
163	56	81
164	57	81
165	57	81
166	57	80
167	58	80
168	58	80
169	59	79
170	59	79
171	59	79
172	59	78
173	60	78
174	60	77
175	60	77
176	61	77
177	61	76
178	62	76
179	62	76
180	63	76
181	63	75
182	63	75
183	64	75
184	64	74
185	64	74
186	65	74
187	65	73
188	65	73
189	66	73
190	66	72
191	66	72
192	67	72
193	67	71
194	67	71
195	68	70
196	68	70
197	68	70
198	69	69
199	69	69
200	69	69
201	70	68
202	70	68
203	70	68
204	71	67
205	71	67
206	71	66
207	72	66
208	72	66
209	72	65
210	73	65
211	73	65
212	73	64
213	74	64
214	74	64
215	75	63
216	75	63
217	75	63
218	76	63
219	76	62
220	76	62
221	77	62
222	77	61
223	78	61
224	78	61
225	78	60
226	79	60
227	79	60
228	80	59
229	80	59
230	80	59
231	81	58
232	81	58
233	81	57
234	82	57
235	82	57
236	82	56
237	83	56
238	83	56
239	83	55
240	84	55
241	84	55
242	84	54
243	85	54
244	85	54
245	85	53
246	86	53
247	86	53
248	87	52
249	87	52
250	87	52
251	88	51
252	88	51
253	89	51
254	89	50
255	89	50
256	90	50
257	90	49
258	90	49
259	91	49
260	91	48
261	91	48
262	92	48
263	92	47
264	92	47
265	93	46
266	93	46
267	93	46
268	94	45
269	94	45
270	94	45
271	95	44
272	95	44
273	95	44
274	96	43
275	96	43
276	96	43
277	97	42
278	97	42
279	97	41
280	98	41
281	98	41
282	98	40
283	99	40
284	99	40
285	99	39
286	100	39
287	100	39
288	101	38
289	101	38
290	101	38
291	102	37
292	102	37
293	102	37
294	103	36
295	103	36
296	103	36
297	104	35
298	104	35
299	104	34
300	105	34
301	105	34
302	106	33
303	106	33
304	106	33
305	107	32
306	107	32
307	107	32
308	107	31
309	108	31
310	108	31
311	108	30
312	109	30
313	109	30
314	109	29
315	110	29
316	110	28
317	110	28
318	111	28
319	111	27
320	111	27
321	112	27
322	112	26
323	112	26
324	113	26
325	113	25
326	113	25
327	114	25
328	114	24
329	115	24
330	115	24
331	115	23
332	116	23
333	116	22
334	116	22
335	117	22
336	117	21
337	117	21
338	118	21
339	119	21
340	120	20
341	120	20
342	120	20
343	121	19
344	121	19
345	121	18
346	122	18
347	122	18
348	122	17
349	123	17
350	123	17
351	123	16
352	124	16
353	124	16
354	125	15
355	125	15
356	125	15
357	126	14
358	126	14
359	126	14
360	127	13
361	127	13
362	128	13
363	128	12
364	128	12
365	129	11
366	129	11
367	129	11
368	130	10
369	130	10
370	130	10
371	131	9
372	131	9
373	131	9
374	132	8
375	132	8
376	133	8
377	133	7
378	133	7
379	134	7
380	134	6
381	134	6
382	135	6
383	135	5
384	136	5
385	136	4
386	136	4
387	137	4
388	137	3
389	137	3
390	138	3
391	138	2
392	138	2
393	139	2
394	139	1
395	139	1
396	140	1
397	140	0
398	141	0
399	141	0
