iter	Logloss
0	0.6537165267
1	0.6217640223
2	0.5962041791
3	0.5731498633
4	0.5510925979
5	0.5361865183
6	0.5226455003
7	0.5113811707
8	0.4990592271
9	0.4895294275
10	0.4826210536
11	0.4735515037
12	0.4652683815
13	0.4586692124
14	0.452984842
15	0.4465622634
16	0.4415962562
17	0.4391298616
18	0.4352985339
19	0.4337573962
20	0.4302002125
21	0.4276377646
22	0.4245181566
23	0.4229699896
24	0.4214928445
25	0.4203828104
26	0.4188262425
27	0.4180043253
28	0.4165852579
29	0.416010653
30	0.4149496957
31	0.4125082037
32	0.4107099383
33	0.4099121094
34	0.4086304568
35	0.4074729319
36	0.4072869976
37	0.4061599046
38	0.4046466699
39	0.4036189733
40	0.4028604915
41	0.4014769136
42	0.4002090626
43	0.3992691469
44	0.3988768331
45	0.3983492476
46	0.3974706671
47	0.3968292408
48	0.3953945288
49	0.3936483833
50	0.3928743855
51	0.3921237045
52	0.3916540253
53	0.3913431918
54	0.3905981685
55	0.3897333895
56	0.3887742718
57	0.3886901341
58	0.3881777217
59	0.387392837
60	0.3871351092
61	0.3864328192
62	0.3858626291
63	0.3853391154
64	0.3848962677
65	0.3842420685
66	0.3840146868
67	0.3834739857
68	0.3833191689
69	0.3832427464
70	0.3828411317
71	0.3821348555
72	0.3820625048
73	0.3819486639
74	0.3817783313
75	0.3815522783
76	0.3809757018
77	0.3808836776
78	0.3803306322
79	0.3802271211
80	0.3795393612
81	0.3794472084
82	0.3792720323
83	0.3791086433
84	0.3790391215
85	0.3789831011
86	0.3787077572
87	0.3785551693
88	0.3782553941
89	0.3781097069
90	0.37788704
91	0.377123972
92	0.3769679552
93	0.376863201
94	0.3767622187
95	0.3765467097
96	0.3764737161
97	0.3763806632
98	0.3757520097
99	0.3756494415
