iter	Passed	Remaining
0	2	240
1	3	177
2	5	169
3	7	175
4	9	176
5	11	174
6	12	171
7	14	167
8	16	163
9	17	159
10	19	157
11	20	153
12	22	150
13	23	145
14	24	138
15	25	132
16	26	127
17	26	122
18	27	118
19	28	114
20	29	110
21	30	107
22	31	104
23	32	103
24	33	101
25	34	97
26	35	94
27	35	92
28	36	89
29	37	87
30	38	85
31	39	83
32	39	80
33	40	78
34	41	76
35	42	75
36	43	73
37	43	71
38	44	70
39	45	68
40	46	67
41	47	66
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	57
48	54	56
49	55	55
50	56	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	62	46
57	62	45
58	63	44
59	64	42
60	65	41
61	65	40
62	66	39
63	67	37
64	68	36
65	69	35
66	69	34
67	70	33
68	71	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	88	12
88	89	11
89	90	10
90	91	9
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	98	0
